orders9.csv,,,,
Client Order ID,Instrument,Side,Quantity,Price
aa001,Tulip,1,200,30
aa002,Rose,2,150,20
aa003,Lavender,1,100,25
aa004,Orchid,2,300,40
aa005,Tulip,1,50,35
aa006,Rose,1,100,15
aa007,Lavender,2,200,50
aa008,Orchid,1,250,45
aa009,Tulip,1,150,18
aa010,Rose,2,100,22
aa011,Rose,2,300,40
aa012,Tulip,1,50,30
aa013,Lavender,1,100,28
aa014,Orchid,1,200,35
aa015,Tulip,2,250,42
aa016,Rose,1,300,50
aa017,Lavender,1,150,15
aa018,Orchid,2,100,20
aa019,Tulip,1,200,25
aa020,Rose,2,50,32
aa021,Lavender,1,100,38
aa022,Orchid,1,150,45
aa023,Tulip,2,200,55
aa024,Rose,1,250,60
aa025,Lavender,1,300,70
aa026,Orchid,2,50,65
aa027,Tulip,1,100,25
aa028,Rose,1,200,30
aa029,Lavender,2,150,40
aa030,Orchid,1,300,18
aa031,Tulip,1,100,22
aa032,Rose,2,200,28
aa033,Lavender,1,250,35
aa034,Orchid,1,50,42
aa035,Tulip,1,100,48
aa036,Rose,2,150,55
aa037,Lavender,1,200,60
aa038,Orchid,2,250,70
aa039,Tulip,1,300,65
aa040,Rose,2,50,25
aa041,Lavender,1,100,30
aa042,Orchid,1,200,40
aa043,Tulip,1,250,18
aa044,Rose,1,150,22
aa045,Lavender,2,100,28
aa046,Orchid,1,200,35
aa047,Tulip,2,300,42
aa048,Rose,1,100,48
aa049,Lavender,1,50,55
aa050,Orchid,1,100,60
